scenario,intensity,model,strategy,MAE,RMSE,updates,avg_update_ms,reaction_delay_batches
gradual,strong,hgb,drift_error_stable,0.5438085075471202,0.5837781666506087,1,68.06029999279417,
recurring,weak,sgd,static,0.38603284983235236,0.43298656035228195,0,0.0,
recurring,weak,sgd,periodic_k5,0.31326001316391133,0.3521636696211798,5,1.0153800016269088,1.0
recurring,weak,sgd,drift_error_plastic,103091881.85666977,103103699.39832082,5,0.36732000298798084,4.0
recurring,weak,sgd,drift_error_stable,0.3593613074261897,0.4069408813005634,1,0.4406000080052763,16.0
recurring,weak,ridge,static,0.2167564868086515,0.2677138770076097,0,0.0,
recurring,weak,ridge,periodic_k5,0.2675746590580412,0.3083524698233058,4,1.7407249943062197,4.0
recurring,weak,ridge,drift_error_plastic,0.2534210693519631,0.28814137682897023,5,1.0014799976488575,6.0
recurring,weak,ridge,drift_error_stable,0.32164257757603665,0.3521233624302879,2,0.8548999976483174,6.0
recurring,weak,rf,static,0.5191172469534036,0.5640063424173571,0,0.0,
recurring,weak,rf,periodic_k5,0.39776830790624573,0.45058025096463655,4,187.2049000012339,2.0
recurring,weak,rf,drift_error_plastic,0.4173143704370897,0.4496632451588379,7,158.95924285827536,4.0
recurring,weak,rf,drift_error_stable,0.42766121739631235,0.4767698136482028,1,162.37099999852944,15.0
recurring,weak,hgb,static,0.5280747489950651,0.574269298649028,0,0.0,
recurring,weak,hgb,periodic_k5,0.3329686625754778,0.3910598226631624,5,100.17641999875195,0.0
recurring,weak,hgb,drift_error_plastic,0.4728836207578821,0.5075691259138405,7,48.2148999976094,4.0
recurring,weak,hgb,drift_error_stable,0.49668733870317294,0.5447976848390211,1,80.51669999258593,16.0
recurring,medium,sgd,static,0.38883752751517836,0.43630461862538916,0,0.0,
recurring,medium,sgd,periodic_k5,0.3086902338851837,0.3530850828622431,4,1.037125002767425,3.0
recurring,medium,sgd,drift_error_plastic,116818027.2668759,116831418.24949378,5,0.34498000459279865,4.0
recurring,medium,sgd,drift_error_stable,0.3607182316045697,0.4091079195900537,1,0.41199999395757914,16.0
recurring,medium,ridge,static,0.23522065524493171,0.2860061087329075,0,0.0,
recurring,medium,ridge,periodic_k5,0.24667727388054725,0.29007486806623717,5,1.7080200021155179,1.0
recurring,medium,ridge,drift_error_plastic,0.2921705632698113,0.32742888190638636,5,0.7185599999502301,6.0
recurring,medium,ridge,drift_error_stable,0.3454956687678104,0.37710778044582816,2,0.8052499979385175,6.0
