batch_id,t_index,mae,rmse
0,800,0.03841286153024829,0.046582460177862314
1,850,0.03181426191531559,0.040998066346546416
2,900,0.04642244356009006,0.05479848169641394
3,950,0.04028741810554956,0.04795218872735986
4,1000,0.41737552567011915,0.4311535287552245
5,1050,0.5251157755501349,0.5287315740059424
6,1100,0.18850323747521547,0.22373194301858051
7,1150,0.35137917408650876,0.37386041204366416
8,1200,0.5230376337795618,0.5268190631289499
9,1250,0.22759153105614152,0.26803469203861324
10,1300,0.3100344250481662,0.34047564798705326
11,1350,0.548842408324584,0.5516269456952434
12,1400,0.31371238514364913,0.3478781286781472
13,1450,0.21854924702866513,0.25688144979003075
14,1500,0.5357024620552407,0.5382518221546347
15,1550,0.34513894417992197,0.3700606555943514
16,1600,0.18804817798209048,0.2276245392992875
17,1650,0.5192370128947063,0.5232998933968012
18,1700,0.4239401372011597,0.4413638976888747
19,1750,0.14103085371779053,0.1690767688627612
20,1800,0.4976224860581173,0.5041745103526238
21,1850,0.4391765794925805,0.45068993419952463
22,1900,0.13726868315863017,0.15968053105825766
23,1950,0.4703775929334417,0.4811533161835141
