batch_id,t_index,mae,rmse
0,800,0.04293777743844024,0.05344684416392951
1,850,0.04216345090113223,0.05076530377389141
2,900,0.04525396819252674,0.05356651523332095
3,950,0.041542159637268074,0.05061346272716307
4,1000,0.4116536423190598,0.42665090700422065
5,1050,0.39799233846757437,0.4023875501564784
6,1100,0.13388440915437902,0.1586101191548533
7,1150,0.4013599454393196,0.42150889339996356
8,1200,0.6092433908358694,0.6116939104592837
9,1250,0.33296028752250273,0.3619589694416222
10,1300,0.22756507212012234,0.2554649776714274
11,1350,0.410229521649864,0.4149708998333344
12,1400,0.2360411861191666,0.2583577645371799
13,1450,0.16673140646918122,0.2032282703122777
14,1500,0.3868962549603744,0.39056132748552497
15,1550,0.25306489514825903,0.26916933892987716
16,1600,0.09350014409293518,0.11472675821861701
17,1650,0.29004081908674545,0.2950017455514454
18,1700,0.21737572433100855,0.2290764038858848
19,1750,0.10636454846136502,0.12612446496520638
20,1800,0.32584151963344676,0.33017536958221866
21,1850,0.3063474605919926,0.31185086199146445
22,1900,0.09497341745815607,0.12091963099769135
23,1950,0.1855144363881835,0.19954970174096642
