batch_id,t_index,mae,rmse,divergence,drift_triggered
0,800,0.04998954633764233,0.059422209312827066,2.769158615864152,1
1,850,0.053100847070062976,0.06457503198013893,1.2483134335643264,1
2,900,0.05290160368895641,0.06231714661900185,0.46800198713983027,1
3,950,0.040364061964010475,0.05367183947536124,2.7347640131299427,1
4,1000,0.3628868114884726,0.3783510673787727,0.45719957885255746,1
5,1050,0.5873736452064326,0.5901662004903568,1.4764791166815008,1
6,1100,1.0710644790305444,1.0984548248410462,1.648136436448588,1
7,1150,0.15085956768295966,0.15942222327036087,0.03008047495341886,0
8,1200,0.08753922947533319,0.11474977654267844,2.3501593928898465,1
9,1250,0.04263356913587068,0.05203017259627671,1.9103515749215227,1
10,1300,0.10547590592578585,0.11629850245091407,0.31473495944272784,1
11,1350,0.0731874539905571,0.08669443562632469,1.9843934566207146,1
12,1400,0.055540749442962466,0.07323470701525656,2.1553222680062802,1
13,1450,0.06141377119831162,0.07578954383518871,0.5281368054395665,1
14,1500,0.17658313713012722,0.18564023553119524,1.6140235255217767,1
15,1550,0.03846942018710319,0.04766700408525611,2.386334516108859,1
16,1600,0.06595986615669665,0.07625557414065164,0.7499457886928893,1
17,1650,0.16939341278559436,0.17862021841373077,1.1995852580260722,1
18,1700,0.07335791822505909,0.08516913572624812,2.654062205188304,1
19,1750,0.042148633385767846,0.053827310357002535,1.0390651208189754,1
20,1800,0.13458086299050978,0.14554307251796678,0.8318904334455348,1
21,1850,0.12044598986800464,0.13083660254486335,2.7797064576371024,1
22,1900,0.06532174421446181,0.08190022581366886,1.2193488652733284,1
23,1950,0.13386634000624384,0.14307690317115832,0.47712361120916114,1
